来源,短语,说明/例句
书本,a bit （of）,有一点，一会儿
书本,a few,一些，少量
书本,a kind of,一种，一类
书本,a little,一点，少许
书本,a lot of,许多，大量
书本,a number of,一些，许多
书本,a pair of,一双，一副
书本,a piece of,一张，一片，一条，一块，一根
书本,above all,首先，首要
书本,according to,根据，按照
书本,after all,毕竟，终究
书本,after class,课后
书本,again and again,反复地，再三地
书本,agree to do sth,同意做某事
书本,agree with sb,同意某人的看法，与某人看法一致
书本,all kinds of,各种各样的
书本,all over,到处，遍及，结束
书本,all right,行了，好吧，（病）好了
书本,arrive at / in+ a place / +,到达某地
书本,as a result,结果
书本,as …… as …,"与……一样,像,如同"
书本,as far as ………… （,表示程度，范围）就……，尽……
书本,as if,"好像,仿佛"
书本,as long as,只要
书本,as soon as ……,一……就
书本,as usual,"通常,平常地"
书本,as well,"也,还有"
书本,as well as ……,除……之外(也)
书本,be proud of,以……感到骄傲或自豪
书本,be strict with,对……严格要求
书本,belong to,属于
书本,both…and… …,"两者都, 既……又……"
书本,break down,"损坏,(把化合物等)分解,(汽车)抛锚"
书本,break in,"闯入,插嘴,打断"
书本,break out (,"战争,火灾等)突然发生,爆发"
书本,bring up,"教育,培养"
书本,build up,逐步建立
书本,by accident,偶然
书本,"by air / plane ( ship train bus) / ( , , , )","乘飞机(轮船, 火车,公共汽车)"
书本,by day,"在白天,日间"
书本,by the way,顺便说
书本,call in,召来，召集
书本,call on,拜访，访问
书本,call up,号召，打电话
书本,care for,喜欢；照顾（病人）
书本,carry on,继续下去；继续开展
书本,carry out,开展，执行
书本,catch up with,赶上（或超过）
书本,change into ……,转变成，把……变成
书本,check in,"报到,登记"
书本,check out,查明;结账
书本,clear up,"整理,收拾,(天气)放晴"
书本,come across (,偶然)遇见(或发现)
书本,come back,"回来,想起来"
书本,come down,"落,下来"
书本,come from,"出生(于),来自"
书本,come in,"进来,进入"
书本,come on,"来吧,赶快"
书本,come out,"出来,(书等)出版,发行"
书本,come to,"共计,达到"
书本,come true,变成现实，成为事实
书本,come up with,追上，赶上；想出（主意），找出（答案）
书本,come up,上来，上升，抬头
书本,compare to ……,与……相比
书本,compare with ……,与……相比
书本,congratulate … on …… …,祝贺……
书本,connect with ……,与……相连
书本,cut down,砍倒
书本,cut off,切断
书本,day and night,日日夜夜
书本,deal with,"处理,对付"
书本,depend on (upon) (),"依靠,相信,信赖"
书本,die out,"消失,灭亡"
书本,different from ……,与……不同
书本,divide …into… …… ……,把……分成
书本,do one’s best,尽最大的努力
书本,do some cleaning(shopping) (),做扫除(买东西)
书本,each other,相互
书本,earn one’s living,谋生
书本,either…or ………… …,或者……或者……
书本,enjoy oneself,过得愉快
书本,even if,"即使,尽管"
书本,even though,"即使,尽管"
书本,ever since,自那时起直到现在
书本,face to face,面对面
书本,fall asleep,入睡
书本,fall ill,患病
书本,far away,遥远的
书本,far from,远离
书本,feel like doing …………,"想要……,感觉要……"
书本,fill… with …… …,用……填充
书本,fill in,填充
书本,find out,"查明,发现,了解"
书本,first of all,首先
书本,for ever,永远
书本,for example,例如
书本,from now on,"从今以后,今后"
书本,from then on,从那时起
书本,from time to time,"不时,偶尔"
书本,from…to ………… …,从……到……
书本,get along with ……,与……相处
书本,get away,逃；离
书本,get back,返回；回来；回家
书本,get close to,接近
书本,get down,降下
书本,get in,进入，收获，达到
书本,get off,脱下（衣服等）；下车
书本,get on,上车;过活
书本,get on with sb ……,与……相处
书本,get through,通过；拨通电话
书本,get together,"聚会,联欢"
书本,get up,起床
书本,give away,分发
书本,give back,"归还,送回"
书本,give in,"屈服,让步"
书本,give out,分发
书本,give up,放弃
书本,go ahead,走在前面，领先；干吧，干下去
书本,go away,走开，离开
书本,go by,走过；经过；过去
书本,"go fishing (shopping skating) (, )",去钓鱼（买东西，滑冰）散步
书本,go for a walk,散步
书本,go off,走开
书本,go on doing,继续做某事，不停地干某事
书本,go on with,继续
书本,go on,继续
书本,go out,出去，熄灭
书本,go over,仔细检查，复习
书本,go through,浏览；翻阅，通过
书本,grow up,长大成人，成长
书本,had better ( do) ( ),最好（做）
书本,hand in,上交；交纳
书本,hand out,分发
书本,hang on （,打电话时）不挂断，等待片刻
书本,hang up,挂断电话
书本,have a cold,患感冒
书本,have a good time,玩得高兴，过得愉快
书本,have classes,上课
书本,have fun with,玩得高兴
书本,have to,不得不；必须
书本,hear from …,收到…的来信
书本,hear of,听说，知道
书本,help oneself to,请随便吃点
书本,help sbwith sth,帮助某人做某事
书本,help …out …,帮助某人解决问题
书本,hold on,等一等（别挂电话）
书本,hold one’s breath,不出气，屏住呼吸
书本,hundreds of,成百上千，几百
书本,hurry up,赶快，快点
书本,in a hurry,匆忙，很快地
书本,in a word,总之，简言之
书本,in all,总之
书本,in common,共同，共有
书本,in danger,处于危险状态
书本,in fact,事实上，实际上
书本,in front of …,在…前面
书本,in need of,"需要,缺少"
书本,in order,按顺序
书本,in order that,为了
书本,in order to,为了
书本,in other words,换句话说
书本,in peace,"安静,宁静"
书本,in public,当众;公开
书本,in surprise,"吃惊,惊讶"
书本,in the end,最后，终于
书本,in time,及时，来得及
书本,instead of,代替，而不是
书本,join in,参加，加入
书本,just now,现在，刚才
书本,keep doing sth,继续做某事
书本,keep off,务踏，务踩
书本,keep on,继续（进行）
书本,keep one’s word,守信
书本,keep up,保持，维持，继续
书本,knock at,敲
书本,knock into sb,撞上
书本,laugh at,嘲笑
书本,lead to,导致，导向
书本,let in …,"让…进来,放进"
书本,let out,"放掉,泄露"
书本,live on ……,"以…为食,以…为天"
书本,look after,照顾
书本,look ahead,向前看
书本,look down upon,看不起，轻视
书本,look for,寻找
书本,look forward to,盼望
书本,look into,向……里看去，调查
书本,look out,留神，当心；
书本,look through,看穿，浏览
书本,look up,查找
书本,lots of,许多，大量
书本,make a face,做鬼脸，做苦脸
书本,make friends with……,与……交朋友
书本,make up,和解，化装
书本,make up of……,由……组成，构成
书本,make up one's mind,下决心
书本,millions of,成百万上千万，数以百万计
书本,more or less,或多或少
书本,neither...nor………… ...,既不……也不……
书本,next to,紧接着，相邻，次于
