主题,单词,中文释义,词组/搭配
职业与服务,job,工作；职业,find a job
职业与服务,work,工作；劳动,go to work
职业与服务,worker,工人；工作者,factory worker
职业与服务,staff,员工；职员,the hotel staff
职业与服务,employee,雇员；员工,a bank employee
职业与服务,employer,雇主；老板,a good employer
职业与服务,boss,老板；上司,talk to the boss
职业与服务,manager,经理；管理人,a sales manager
职业与服务,leader,领导者；首领,a team leader
职业与服务,captain,队长；船长,team captain
职业与服务,president,总统；主席,the president of
职业与服务,king,国王；君王,King of England
职业与服务,queen,女王；王后,a beauty queen
职业与服务,prince,王子；皇子,a fairy prince
职业与服务,princess,公主；王妃,a beautiful princess
职业与服务,doctor,医生；博士,see a doctor
职业与服务,nurse,护士；护理,a kind nurse
职业与服务,dentist,牙医,go to the dentist
职业与服务,teacher,教师；老师,a history teacher
职业与服务,professor,教授；老师,a college professor
职业与服务,student,学生；学者,a good student
职业与服务,pupil,小学生；瞳孔,a primary pupil
职业与服务,scientist,科学家,a Chinese scientist
职业与服务,engineer,工程师；技师,a software engineer
职业与服务,driver,司机；驾驶员,a taxi driver
职业与服务,pilot,飞行员；驾驶员,a plane pilot
职业与服务,cook,厨师；烹饪,a head cook
职业与服务,chef,厨师；主厨,a French chef
职业与服务,waiter,服务员；侍者,a polite waiter
职业与服务,waitress,女服务员,a busy waitress
职业与服务,farmer,农民；农场主,a rice farmer
职业与服务,worker,工人；劳动者,a hard worker
职业与服务,worker,工人；劳动者,an honest worker
职业与服务,worker,工人；劳动者,an office worker
职业与服务,soldier,士兵；军人,a brave soldier
职业与服务,policeman,警察；警察（男）,a kind policeman
职业与服务,policewoman,女警察,a brave policewoman
职业与服务,police,警察；警方,call the police
职业与服务,firefighter,消防员,a brave firefighter
职业与服务,lawyer,律师；法官,a clever lawyer
职业与服务,judge,法官；裁判,a fair judge
职业与服务,artist,艺术家；画家,a famous artist
职业与服务,writer,作者；作家,a famous writer
职业与服务,actor,演员（男）,a young actor
职业与服务,actress,女演员,a pretty actress
职业与服务,singer,歌手；歌唱家,a pop singer
职业与服务,musician,音乐家；乐师,a great musician
职业与服务,dancer,舞蹈家；舞者,a good dancer
职业与服务,player,运动员；选手,a tennis player
职业与服务,athlete,运动员；田径选手,a top athlete
职业与服务,team,队；队,the Chinese team
职业与服务,coach,教练；长途车,a football coach
职业与服务,reporter,记者；通讯员,a news reporter
职业与服务,photographer,摄影师,a good photographer
职业与服务,designer,设计师；构思者,a fashion designer
职业与服务,programmer,程序员；程序师,a senior programmer
职业与服务,secretary,秘书；书记,a company secretary
职业与服务,guide,导游；向导,a tour guide
职业与服务,seller,卖方；销售员,a book seller
职业与服务,buyer,买方；买家,house buyer
职业与服务,customer,顾客；客户,a regular customer
职业与服务,client,客户；委托人,meet a client
职业与服务,visitor,访问者；游客,a museum visitor
职业与服务,tourist,游客；观光客,a foreign tourist
职业与服务,passenger,乘客；旅客,bus passenger
职业与服务,guest,客人；宾客,be a guest of
职业与服务,host,主人；东道主,a good host
职业与服务,owner,主人；物主,shop owner
职业与服务,neighbor,邻居,a good neighbor
职业与服务,stranger,陌生人；门外汉,a perfect stranger
职业与服务,partner,伙伴；搭档,business partner
职业与服务,colleague,同事；同僚,a close colleague
职业与服务,assistant,助手；助理,a shop assistant
职业与服务,company,公司；陪伴,a big company
职业与服务,business,生意；商务,do business
职业与服务,office,办公室；职务,at the office
职业与服务,meeting,会议；会面,have a meeting
职业与服务,interview,面试；采访,have a job interview
职业与服务,salary,薪水；薪金,a high salary
职业与服务,wage,工资；报酬,low wages
职业与服务,pay,工资；付钱,monthly pay
职业与服务,earn,挣得；赢得,earn money
职业与服务,hire,雇用；租用,hire a worker
职业与服务,fire,解雇；开除,fire an employee
职业与服务,resign,辞职,resign from
职业与服务,retire,退休；退役,retire at 60
职业与服务,service,服务；公共设施,public service
职业与服务,customer service,客户服务,customer service center
身体与健康,body,身体；主体,body language
身体与健康,head,头；头部,from head to foot
身体与健康,face,脸；面容,a round face
身体与健康,eye,眼睛；视力,bright eyes
身体与健康,ear,耳朵；听觉,hear with ears
身体与健康,nose,鼻子；嗅觉,runny nose
身体与健康,mouth,嘴；口,a big mouth
身体与健康,lip,嘴唇,thin lips
身体与健康,tongue,舌头；语言,stick out one's tongue
身体与健康,tooth,牙齿；齿,a sweet tooth
身体与健康,teeth,牙（复数）,brush one's teeth
身体与健康,hair,头发；毛发,long black hair
身体与健康,neck,脖子；颈,a long neck
身体与健康,throat,喉咙；嗓子,sore throat
身体与健康,shoulder,肩膀；肩部,broad shoulders
身体与健康,arm,手臂；武器,with open arms
身体与健康,hand,手；帮助,by hand
身体与健康,finger,手指；指针,point a finger
身体与健康,thumb,拇指；巨擘,thumb up
身体与健康,leg,腿；支柱,two legs
身体与健康,knee,膝盖；膝部,on one's knees
身体与健康,foot,脚；足,on foot 步行
身体与健康,feet,脚（复数）,bare feet
身体与健康,toe,脚趾；足尖,big toe
身体与健康,back,背；后面,lie on one's back
身体与健康,chest,胸；胸部,chest pain
身体与健康,stomach,胃；腹部,stomach ache
身体与健康,heart,心；心脏,heart attack
身体与健康,liver,肝脏；居住者,healthy liver
身体与健康,skin,皮肤；皮,soft skin
身体与健康,bone,骨；骨头,broken bone
身体与健康,blood,血；血液,lose blood
身体与健康,muscle,肌肉；体力,strong muscles
身体与健康,brain,脑；头脑,use one's brain
身体与健康,health,健康；保健,good health
身体与健康,healthy,健康的,stay healthy
身体与健康,strong,强壮的；坚固的,a strong body
身体与健康,weak,虚弱的；差的,feel weak
身体与健康,sick,生病的；不快的,be sick
身体与健康,ill,有病的；不健康的,be ill
身体与健康,disease,疾病；病害,a heart disease
身体与健康,illness,病；疾病,a serious illness
身体与健康,cold,感冒；冷的,have a cold
身体与健康,fever,发烧；狂热,high fever
身体与健康,cough,咳嗽；咳嗽声,a bad cough
身体与健康,headache,头痛；麻烦,have a headache
身体与健康,toothache,牙痛,have a toothache
身体与健康,stomachache,胃痛；腹痛,have a stomachache
身体与健康,pain,痛苦；疼,feel pain
身体与健康,hurt,伤害；疼痛,feel hurt
身体与健康,sore,疼痛的；酸痛的,sore throat
身体与健康,tired,疲倦的；厌烦的,be tired
身体与健康,medicine,药；医学,take medicine
身体与健康,pill,药丸；药片,a sleeping pill
身体与健康,drug,药；毒品,take drugs
身体与健康,tablet,药片；碑,swallow a tablet
身体与健康,hospital,医院,at the hospital
身体与健康,clinic,诊所；门诊部,a dental clinic
身体与健康,doctor,医生；博士,see a doctor
身体与健康,patient,病人；有耐心的,a hospital patient
身体与健康,nurse,护士；护理,night nurse
身体与健康,operation,手术；操作,perform an operation
身体与健康,checkup,体检；检查,have a checkup
身体与健康,exam,检查；考试,a medical exam
身体与健康,test,测试；化验,a blood test
身体与健康,temperature,温度；体温,body temperature
身体与健康,weight,体重；重量,lose weight
身体与健康,height,身高；高度,what's the height
身体与健康,rest,休息；剩余,have a rest
身体与健康,sleep,睡眠；睡,get enough sleep
身体与健康,dream,梦；梦想,have a dream
身体与健康,exercise,锻炼；练习,do exercise
身体与健康,sport,运动；运动会,a good sport
身体与健康,fitness,健身；健康,keep fitness
身体与健康,die,死；消亡,die of
身体与健康,death,死；死亡,life and death
身体与健康,life,生命；生活,all one's life
身体与健康,living,活着的；现存的,a living person
身体与健康,born,出生；天生,be born in
身体与健康,save,救；节省,save one's life
身体与健康,protect,保护,protect from
身体与健康,safe,安全的；保险箱,feel safe
身体与健康,dangerous,危险的；不安全的,a dangerous game
身体与健康,worry,担心；烦恼,don't worry
身体与健康,cry,哭；喊叫,cry out
身体与健康,smile,微笑；笑容,with a smile
身体与健康,laugh,笑；笑声,laugh at
数字与量词,number,数字；号码,a phone number
数字与量词,numeral,数字,a Roman numeral
数字与量词,figure,数字；图形,double figures
数字与量词,count,数；计算,count from 1 to 10
数字与量词,sum,和；金额,a large sum
数字与量词,total,总数；合计,in total
数字与量词,score,得分；分数,keep score
数字与量词,double,双的；两倍,double the amount
数字与量词,triple,三倍的,triple the effort
数字与量词,single,单一的；单身的,a single room
数字与量词,first,第一的；首先的,the first time
数字与量词,second,第二的；秒的,the second day
数字与量词,third,第三的；三分之一,the third floor
数字与量词,fourth,第四的；四分之一的,four of fourth
数字与量词,fifth,第五的；五分之一的,the fifth day
数字与量词,last,最后的；上一个的,the last one
数字与量词,next,下一个的；接下来的,the next bus
数字与量词,final,最后的；最终的,the final exam
数字与量词,once,一次；曾经,once a week
数字与量词,twice,两次；两倍,twice a year
数字与量词,dozen,一打；十二,a dozen eggs
数字与量词,hundred,百；许多,hundreds of
数字与量词,thousand,千；千个,thousands of
数字与量词,million,百万；无数,a million dollars
数字与量词,billion,十亿；无数,a billion people
数字与量词,zero,零；零度,zero point
数字与量词,one,一；一个,one by one
数字与量词,two,二；两个,two days
数字与量词,three,三；三个,three times
数字与量词,four,四；四个,four people
数字与量词,five,五；五个,five apples
数字与量词,six,六；六个,on page six
数字与量词,seven,七；七个,seven days
数字与量词,eight,八；八个,eight o'clock
数字与量词,nine,九；九个,nine times out of ten
数字与量词,ten,十；十个,ten minutes
数字与量词,eleven,十一；十一个,eleven players
数字与量词,twelve,十二；十二个,twelve months
数字与量词,thirteen,十三；十三个,thirteen years old
数字与量词,twenty,二十；二十个,twenty students
数字与量词,thirty,三十；三十个,thirty minutes
数字与量词,forty,四十；四十个,forty days
数字与量词,fifty,五十；五十个,fifty percent
数字与量词,sixty,六十；六十个,sixty years old
数字与量词,seventy,七十；七十个,seventy students
数字与量词,eighty,八十；八十个,eighty pages
数字与量词,ninety,九十；九十个,ninety percent
数字与量词,pair,一对；一双,a pair of
数字与量词,dozen,一打；十二,three dozen
数字与量词,piece,件；张,a piece of
数字与量词,bottle,瓶子；一瓶,a bottle of
数字与量词,cup,杯子；一杯,a cup of
数字与量词,glass,玻璃杯；一杯,a glass of
数字与量词,bowl,碗；一碗,a bowl of
数字与量词,plate,盘子；一盘,a plate of
数字与量词,spoon,勺；匙,a spoon of
数字与量词,fork,叉；叉状物,a fork and knife
数字与量词,knife,小刀；菜刀,a sharp knife
数字与量词,chopsticks,筷子,a pair of chopsticks
数字与量词,tray,托盘；盘子,a tea tray
数字与量词,basket,篮子；筐,a shopping basket
数字与量词,box,盒子；箱子,a box of
数字与量词,pack,包；一包,a pack of
数字与量词,group,群；组,a group of
数字与量词,team,队；组,a team of
数字与量词,class,班级；阶级,in a class
数字与量词,grade,年级；成绩,third grade
数字与量词,quarter,四分之一；一刻钟,a quarter of
数字与量词,half,一半；半个,half an hour
数字与量词,percent,百分之；百分数,fifty percent
数字与量词,percent,百分之,fifty percent
数字与量词,every,每个的,every day
数字与量词,each,每个；各自,each of
数字与量词,all,全部的；所有的,all of us
数字与量词,whole,全部的；完整的,the whole world
数字与量词,total,全部的；总的,total amount
数字与量词,complete,完整的；完成的,complete the task
数字与量词,nearly,几乎；差不多,nearly done
数字与量词,almost,几乎；差不多,almost over
数字与量词,enough,足够的；充足的,enough time
数字与量词,too much,太多,too much work
数字与量词,too many,太多,too many people
数字与量词,more,更多的；更大的,more time
数字与量词,less,较少的；更小的,less work
数字与量词,few,很少的；少数的,a few days
数字与量词,little,小的；少的,a little bit
数字与量词,many,许多的,many people
数字与量词,much,许多的；大量的,much time
数字与量词,several,几个；数个,several times
数字与量词,various,各种各样的,various kinds of
数字与量词,some,一些；若干,some of
数字与量词,any,一些；任何,any of
数字与量词,no,没有的；不,no problem
数字与量词,none,没有人；没有东西,none of us
数字与量词,nothing,没有什么；无关紧要,nothing to do
数字与量词,everyone,每个人,everyone knows
数字与量词,everything,每件事；一切,everything is fine
数字与量词,everywhere,处处；到处,everywhere we go
食物与饮料扩展,breakfast,早餐；早饭,have breakfast
食物与饮料扩展,lunch,午餐；午饭,have lunch
食物与饮料扩展,dinner,晚餐；正餐,have dinner
食物与饮料扩展,supper,晚餐；晚饭,eat supper
食物与饮料扩展,meal,一餐；膳食,a big meal
食物与饮料扩展,snack,点心；快餐,a light snack
食物与饮料扩展,dessert,餐后甜点；甜食,for dessert
食物与饮料扩展,soup,汤；羹,vegetable soup
食物与饮料扩展,salad,色拉；沙拉,a green salad
食物与饮料扩展,sandwich,三明治；夹心面包,a cheese sandwich
食物与饮料扩展,hamburger,汉堡包,a beef hamburger
食物与饮料扩展,pizza,披萨饼,an Italian pizza
食物与饮料扩展,hot dog,热狗,eat a hot dog
食物与饮料扩展,noodle,面条；傻瓜,beef noodle
食物与饮料扩展,spaghetti,意大利面条,eat spaghetti
食物与饮料扩展,porridge,粥；麦片,a bowl of porridge
食物与饮料扩展,cheese,奶酪；干酪,a piece of cheese
食物与饮料扩展,butter,黄油；奶油,spread butter
食物与饮料扩展,jam,果酱；拥挤,strawberry jam
食物与饮料扩展,honey,蜂蜜；甜蜜,as sweet as honey
食物与饮料扩展,soy sauce,酱油,add soy sauce
食物与饮料扩展,oil,油；石油,vegetable oil
食物与饮料扩展,vinegar,醋,a bottle of vinegar
食物与饮料扩展,sauce,酱；调味汁,tomato sauce
食物与饮料扩展,pepper,胡椒；辣椒,black pepper
食物与饮料扩展,salt,盐；咸,a pinch of salt
食物与饮料扩展,sugar,糖；糖块,add sugar
食物与饮料扩展,beef,牛肉；菜牛,roast beef
食物与饮料扩展,pork,猪肉,fresh pork
食物与饮料扩展,lamb,羔羊肉；小羊,grilled lamb
食物与饮料扩展,mutton,羊肉；绵羊,a leg of mutton
食物与饮料扩展,bacon,咸猪肉；培根,bacon and eggs
食物与饮料扩展,sausage,香肠；腊肠,a pork sausage
食物与饮料扩展,ham,火腿；大腿,a slice of ham
食物与饮料扩展,steak,牛排；肉排,a beef steak
食物与饮料扩展,shrimp,虾；小虾,shrimp cocktail
食物与饮料扩展,crab,蟹肉；螃蟹,fresh crab
食物与饮料扩展,lobster,龙虾；龙虾肉,grilled lobster
食物与饮料扩展,squid,鱿鱼；乌贼,fried squid
食物与饮料扩展,candy,糖果；巧克力,a box of candy
食物与饮料扩展,chocolate,巧克力；巧克力糖,a bar of chocolate
食物与饮料扩展,cookie,小甜饼；曲奇,chocolate cookie
食物与饮料扩展,biscuit,饼干；小面包,a tin of biscuits
食物与饮料扩展,pie,馅饼；派,an apple pie
食物与饮料扩展,pudding,布丁；甜食,rice pudding
食物与饮料扩展,ice cream,冰淇淋,chocolate ice cream
食物与饮料扩展,nut,坚果；螺母,peanut nut
食物与饮料扩展,peanut,花生；花生米,peanut butter
食物与饮料扩展,bean,豆；豆科植物,coffee bean
食物与饮料扩展,pea,豌豆；豆类,green peas
食物与饮料扩展,corn,谷物；玉米,sweet corn
食物与饮料扩展,wheat,小麦；小麦色,grow wheat
食物与饮料扩展,rice,稻；米；米饭,rice field
食物与饮料扩展,flour,面粉；粉,whole wheat flour
食物与饮料扩展,dough,生面团；钱,knead dough
食物与饮料扩展,bread,面包；生计,bread and butter
食物与饮料扩展,toast,吐司；烤面包,have toast
食物与饮料扩展,sandwich,三明治,eat a sandwich
食物与饮料扩展,beverage,饮料,hot beverage
食物与饮料扩展,drink,饮料；酒,soft drink
食物与饮料扩展,beer,啤酒,a bottle of beer
食物与饮料扩展,wine,葡萄酒；酒,a glass of wine
食物与饮料扩展,cocktail,鸡尾酒,a fruit cocktail
食物与饮料扩展,whisky,威士忌,a glass of whisky
食物与饮料扩展,lemonade,柠檬水；汽水,icy lemonade
