主题,单词,中文释义,词组/搭配
社交与礼仪,hello,你好；喂,say hello
社交与礼仪,hi,嗨；你好,say hi
社交与礼仪,goodbye,再见；告别,say goodbye
社交与礼仪,bye,再见；告别,bye bye
社交与礼仪,farewell,告别；辞别,bid farewell
社交与礼仪,welcome,欢迎,welcome to China
社交与礼仪,sorry,对不起；抱歉,I'm sorry
社交与礼仪,excuse me,对不起；劳驾,excuse me, sir
社交与礼仪,pardon,原谅；对不起,pardon me
社交与礼仪,please,请,please sit down
社交与礼仪,thanks,谢谢；感谢,thanks a lot
社交与礼仪,thank you,谢谢你,thank you very much
社交与礼仪,cheers,干杯；谢谢,cheers to you
社交与礼仪,congratulations,祝贺；恭喜,congratulations on
社交与礼仪,welcome,欢迎,welcome home
社交与礼仪,nice,令人愉快的,nice to meet you
社交与礼仪,introduce,介绍,introduce oneself
社交与礼仪,meet,遇见；见面,nice to meet you
社交与礼仪,greet,问候；打招呼,greet friends
社交与礼仪,invite,邀请,invite friends
社交与礼仪,visit,拜访；参观,visit relatives
社交与礼仪,party,聚会；党,a birthday party
社交与礼仪,celebrate,庆祝,celebrate birthday
社交与礼仪,celebration,庆祝；庆典,New Year celebration
社交与礼仪,gift,礼物；天赋,a birthday gift
社交与礼仪,present,礼物；目前,Christmas present
社交与礼仪,balloon,气球,a red balloon
社交与礼仪,cake,蛋糕；饼,birthday cake
社交与礼仪,candle,蜡烛；烛光,blow out candles
社交与礼仪,invitation,请柬；邀请,a wedding invitation
社交与礼仪,farewell,告别；送别,a farewell party
社交与礼仪,friend,朋友；助手,best friend
社交与礼仪,companion,同伴；伴侣,a traveling companion
社交与礼仪,partner,伙伴；搭档,life partner
社交与礼仪,acquaintance,熟人；相识,an old acquaintance
社交与礼仪,relationship,关系；联系,a close relationship
社交与礼仪,connection,联系；连接,family connection
社交与礼仪,fellowship,友谊；团体,college fellowship
社交与礼仪,kindness,善良；仁慈,show kindness
社交与礼仪,courtesy,礼貌；谦恭,treat with courtesy
