主题,单词,中文释义,词组/搭配
科技与媒体,computer,电脑,use a computer
科技与媒体,laptop,笔记本电脑,work on a laptop
科技与媒体,phone,电话,answer the phone
科技与媒体,smartphone,智能手机,use a smartphone
科技与媒体,mobile,移动的；手机,mobile phone
科技与媒体,TV,电视,watch TV
科技与媒体,radio,收音机,listen to the radio
科技与媒体,camera,相机,take a photo
科技与媒体,video,视频,record a video
科技与媒体,screen,屏幕,on the screen
科技与媒体,keyboard,键盘,type on a keyboard
科技与媒体,mouse,鼠标,computer mouse
科技与媒体,printer,打印机,use a printer
科技与媒体,internet,互联网,surf the internet
科技与媒体,website,网站,visit a website
科技与媒体,email,电子邮件,send an email
科技与媒体,message,消息,text message
科技与媒体,text,短信,send a text
科技与媒体,call,打电话,make a phone call
科技与媒体,app,应用程序,mobile app
科技与媒体,online,在线,go online
科技与媒体,digital,数字的,digital camera
科技与媒体,technology,技术,modern technology
科技与媒体,machine,机器,washing machine
科技与媒体,robot,机器人,humanoid robot
科技与媒体,science,科学,science class
科技与媒体,scientist,科学家,a famous scientist
科技与媒体,engineer,工程师,civil engineer
科技与媒体,invention,发明,a great invention
科技与媒体,invent,发明,invent a machine
科技与媒体,discover,发现,discover something new
科技与媒体,discovery,发现,great discovery
科技与媒体,experiment,实验,do an experiment
科技与媒体,research,研究,scientific research
科技与媒体,satellite,卫星,communication satellite
科技与媒体,planet,行星,on another planet
科技与媒体,space,空间；太空,outer space
科技与媒体,astronaut,宇航员,famous astronaut
科技与媒体,earth,地球,on earth
科技与媒体,moon,月亮,full moon
科技与媒体,star,星星,shining star
科技与媒体,universe,宇宙,the whole universe
科技与媒体,nature,自然,beauty of nature
科技与媒体,natural,自然的,natural beauty
科技与媒体,environment,环境,protect the environment
科技与媒体,news,新闻,watch the news
科技与媒体,film,电影,watch a film
科技与媒体,movie,电影,watch a movie
体育运动,sport,运动,play sport
体育运动,football,足球,play football
体育运动,soccer,足球,play soccer
体育运动,basketball,篮球,play basketball
体育运动,tennis,网球,play tennis
体育运动,baseball,棒球,play baseball
体育运动,volleyball,排球,play volleyball
体育运动,badminton,羽毛球,play badminton
体育运动,golf,高尔夫,play golf
体育运动,dive,潜水；跳水,dive into water
体育运动,race,赛跑；比赛,win a race
体育运动,skip,跳绳,skip rope
体育运动,ski,滑雪,go skiing
体育运动,cycle,骑自行车,cycle to school
体育运动,jog,慢跑,jog in the morning
体育运动,train,训练,train hard
体育运动,practice,练习,practice every day
体育运动,match,比赛,win a match
体育运动,game,比赛；游戏,play a game
体育运动,team,队,team spirit
体育运动,player,运动员,team player
体育运动,coach,教练,head coach
体育运动,fan,迷；粉丝,sports fan
体育运动,score,得分,score a goal
体育运动,win,赢,win the game
体育运动,lose,输,lose the match
体育运动,beat,打败,beat the opponent
体育运动,champion,冠军,world champion
体育运动,trophy,奖杯,win a trophy
体育运动,medal,奖牌,gold medal
体育运动,victory,胜利,a great victory
体育运动,defeat,失败,suffer defeat
体育运动,health,健康,good health
体育运动,fit,健康的,keep fit
体育运动,referee,裁判,be a referee
娱乐与艺术,music,音乐,listen to music
娱乐与艺术,song,歌曲,sing a song
娱乐与艺术,singer,歌手,pop singer
娱乐与艺术,dance,跳舞,dance to music
娱乐与艺术,dancer,舞者,ballet dancer
娱乐与艺术,concert,音乐会,go to a concert
娱乐与艺术,band,乐队,rock band
娱乐与艺术,instrument,乐器,play an instrument
娱乐与艺术,piano,钢琴,play the piano
娱乐与艺术,guitar,吉他,play the guitar
娱乐与艺术,violin,小提琴,play the violin
娱乐与艺术,drum,鼓,beat a drum
娱乐与艺术,audience,观众,a large audience
娱乐与艺术,ticket,票,buy a ticket
娱乐与艺术,stage,舞台,on the stage
娱乐与艺术,perform,表演,perform on stage
娱乐与艺术,actor,演员,movie actor
娱乐与艺术,drama,戏剧；剧本,TV drama
娱乐与艺术,art,艺术,modern art
娱乐与艺术,artist,艺术家,famous artist
娱乐与艺术,painting,画；绘画,a beautiful painting
娱乐与艺术,photo,照片,take a photo
娱乐与艺术,photograph,照片,black-and-white photograph
娱乐与艺术,story,故事,tell a story
娱乐与艺术,poem,诗,write a poem
娱乐与艺术,novel,小说,a famous novel
娱乐与艺术,writer,作家,famous writer
娱乐与艺术,library,图书馆,go to the library
娱乐与艺术,newspaper,报纸,read a newspaper
娱乐与艺术,magazine,杂志,weekly magazine
娱乐与艺术,article,文章,write an article
娱乐与艺术,report,报告,news report
娱乐与艺术,festival,节日；庆典,music festival
娱乐与艺术,holiday,假期；节日,summer holiday
娱乐与艺术,parade,游行,watch the parade
抽象概念,idea,主意；想法,good idea
抽象概念,thought,想法；思想,lost in thought
抽象概念,mind,思想；头脑,a sharp mind
抽象概念,memory,记忆,good memory
抽象概念,dream,梦想；梦,have a dream
抽象概念,hope,希望,full of hope
抽象概念,plan,计划,make a plan
抽象概念,problem,问题,big problem
抽象概念,question,问题,ask a question
抽象概念,answer,回答；答案,right answer
抽象概念,reason,原因；理由,the reason why
抽象概念,result,结果,good result
抽象概念,fact,事实,important fact
抽象概念,truth,事实；真相,tell the truth
