主题,单词,中文释义,词组/搭配
家庭与人物,mother,母亲,my mother and father
家庭与人物,father,父亲,my father
家庭与人物,parent,父/母亲,parents (复数)
家庭与人物,parents,父母双方,,
家庭与人物,brother,兄弟,an older brother
家庭与人物,sister,姐妹,an older sister
家庭与人物,child,孩子,childhood
家庭与人物,children,孩子们（复数）,
家庭与人物,family,家庭,family name 姓氏
家庭与人物,friend,朋友,make friends 交朋友
家庭与人物,teacher,老师,,
家庭与人物,student,学生,a good student
家庭与人物,baby,婴儿,
家庭与人物,man,男人,men (复数)
家庭与人物,woman,女人,women (复数)
家庭与人物,boy,男孩,
家庭与人物,girl,女孩,
家庭与人物,son,儿子,
家庭与人物,daughter,女儿,
家庭与人物,people,人们,
学校与学习,school,学校,go to school 上学
学校与学习,class,班级；课程,in class 在课上
学校与学习,lesson,课；教训,have a lesson 上课
学校与学习,book,书,read a book 读书
学校与学习,pen,钢笔,
学校与学习,pencil,铅笔,
学校与学习,ruler,尺子,
学校与学习,eraser,橡皮,
学校与学习,bag,书包,school bag
学校与学习,desk,书桌,
学校与学习,chair,椅子,
学校与学习,homework,家庭作业,do homework 做作业
学校与学习,exam,考试,take an exam 参加考试
学校与学习,test,测试,have a test
学校与学习,learn,学习；学会,learn from 向……学习
学校与学习,study,学习；攻读,study hard 努力学习
学校与学习,teach,教,teach English
学校与学习,read,读；阅读,read aloud 大声读
学校与学习,write,写,write down 写下
学校与学习,question,问题,ask a question 提问
学校与学习,answer,回答；答案,the answer to ...
日常生活,home,家,go home 回家
日常生活,house,房子,a big house
日常生活,room,房间,my room
日常生活,bed,床,go to bed 上床睡觉
日常生活,door,门,open the door
日常生活,window,窗户,close the window
日常生活,table,桌子,on the table
日常生活,kitchen,厨房,
日常生活,bathroom,浴室；卫生间,
日常生活,shower,淋浴,take a shower 洗澡
日常生活,watch,手表；观看,watch TV 看电视
日常生活,television,电视,watch television
日常生活,clean,打扫；清洁,clean the room
日常生活,wash,洗,wash hands 洗手
日常生活,sleep,睡觉,go to sleep 入睡
日常生活,wake,醒来,wake up 起床
日常生活,get up,起床,get up early
日常生活,eat,吃,eat breakfast 吃早饭
日常生活,drink,喝,drink water 喝水
日常生活,cook,烹饪；煮,cook dinner
日常生活,walk,走；散步,walk to school
日常生活,run,跑,run fast
时间与日期,time,时间,on time 准时
时间与日期,day,天,every day
时间与日期,week,周,this week
时间与日期,month,月,this month
时间与日期,year,年,this year
时间与日期,today,今天,
时间与日期,tomorrow,明天,
时间与日期,yesterday,昨天,
时间与日期,morning,早上,in the morning
时间与日期,afternoon,下午,in the afternoon
时间与日期,evening,晚上,in the evening
时间与日期,night,夜晚,at night
时间与日期,hour,小时,half an hour
时间与日期,minute,分钟,in a minute
时间与日期,second,秒,
时间与日期,Monday,星期一,
时间与日期,Tuesday,星期二,
时间与日期,Wednesday,星期三,
时间与日期,Thursday,星期四,
时间与日期,Friday,星期五,
时间与日期,now,现在,right now
时间与日期,later,之后,see you later
食物与饮料,food,食物,fast food 快餐
食物与饮料,water,水,drink water
食物与饮料,rice,米饭；米,a bowl of rice
食物与饮料,bread,面包,a piece of bread
食物与饮料,egg,鸡蛋；蛋,have an egg
食物与饮料,milk,牛奶,a glass of milk
食物与饮料,tea,茶,have tea
食物与饮料,coffee,咖啡,black coffee
食物与饮料,juice,果汁,orange juice
食物与饮料,meat,肉,
食物与饮料,fish,鱼；鱼肉,
食物与饮料,chicken,鸡；鸡肉,
食物与饮料,fruit,水果,fresh fruit
食物与饮料,apple,苹果,an apple a day
食物与饮料,banana,香蕉,
食物与饮料,orange,橙子；橙色的,
食物与饮料,vegetable,蔬菜,green vegetables
食物与饮料,cake,蛋糕, birthday cake
食物与饮料,sugar,糖,
食物与饮料,salt,盐,
